chunk	start	end	owned_sections
01	1	1096	1,1.1,1.2,1.3,1.4,2,2.1,2.1.1,2.1.2,2.1.3,2.1.4,2.1.5,2.2,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.2.6,2.3,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,2.3.6,2.3.7,2.4,2.4.1,2.4.1.1,2.4.1.2,2.4.1.3,2.4.1.4,2.4.1.5,2.4.2,2.4.3,2.4.4,2.4.5,2.4.6,2.4.7,2.5,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.5.6,2.5.7
02	1098	2016	3,3.1,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.1.6,3.1.6.1,3.1.7,3.2,3.2.1,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.3.6,3.4,3.4.1,3.4.1.1,3.4.2
03	2017	2678	3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,3.5.7,3.6,3.6.1,3.6.2,3.7,3.7.1,3.7.2,3.7.3,3.7.4,3.7.5,3.8,3.8.1,3.8.2,3.8.3,3.9,3.9.1,3.9.2,3.9.3,3.9.4,3.9.5
04	2680	3862	4,4.1,4.2,4.3,4.3.1,4.3.2,4.3.3,4.3.4,4.4,4.4.1,4.4.1.1,4.4.1.2,4.4.2,4.4.3,4.4.4,4.4.5,4.4.6,4.5,4.5.1,4.5.2,4.5.3,4.5.4,4.5.5,4.5.6,4.6,4.6.1,4.6.2,4.6.3,4.6.4,4.6.5,4.6.6,4.6.7,4.7,4.7.1,4.7.2,4.7.3,4.7.4,4.7.5,4.8,4.8.1,4.8.2,4.8.3,4.8.4,4.9,4.9.1,4.9.2,4.9.3,4.9.4
05	3864	5123	5,5.1,5.2,5.2.1,5.2.2,5.2.3,5.2.4,5.2.5,5.3,5.3.1,5.3.2,5.4,5.5,5.6,5.7,5.7.1,5.7.2,5.7.3,5.7.4,5.7.5,6,6.1,6.1.1,6.1.2,6.1.3,6.1.4,6.1.5,6.1.6,6.1.7,6.1.8,6.1.9,6.2,6.2.1,6.2.1.1,6.2.1.2,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.3,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5
06	5125	5861	7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.2.1,8.2.2,8.2.3,8.2.4,8.3,8.3.1,8.4,8.4.1,8.4.2,8.5,8.6,8.7,8.7.1,8.7.2,8.8,8.9
07	5863	7143	9,9.1,9.1.1,9.1.2,9.1.3,9.1.4,9.1.5,9.1.6,9.1.7,9.1.8,9.1.9,9.2,9.2.1,9.2.2,9.2.3,9.2.4,9.2.5,9.2.6,9.2.7,9.3,9.3.1,9.3.2,9.3.3,9.3.4,9.3.5,9.3.6,9.4,9.4.1,9.4.1.1,9.4.1.2,9.4.1.3,9.4.1.4,9.4.2,9.4.2.1,9.4.2.2,9.4.2.3,9.4.3,10,10.1,10.2,10.2.1,10.2.2,10.2.3,10.3,10.4,10.4.1,10.4.2,10.4.3,10.4.4,10.4.5,10.5,10.5.1,10.6,10.7,10.8,10.9,10.10
08	7145	8213	11,11.1,11.2,11.2.1,11.3,11.3.1,11.3.2,11.3.3,11.3.4,11.3.5,11.3.6,11.4,11.4.1,11.4.2,11.4.3,11.4.4,11.5,11.5.1,11.5.2,11.5.3,11.5.4,11.6,11.6.1,11.7,11.7.1,11.7.2,11.7.3,11.7.4,11.7.5,11.8,11.8.1,11.8.2,11.8.3,11.8.4,11.8.5
09	8214	8860	11.9,11.9.1,11.9.2,11.9.3,11.9.4,11.9.5,11.10,11.10.1,11.10.2,11.10.3,11.10.4,11.10.5,11.10.6,11.11,11.11.1,11.11.2,11.11.3,11.12,11.12.1,11.13,11.14
10	8863	10257	12,12.1,12.2,12.2.1,12.2.2,12.2.3,12.3,12.3.1,12.3.2,12.3.3,12.3.4,12.3.5,12.3.6,12.3.7,12.4,12.4.1,12.4.2,12.4.3,12.5,12.5.1,12.5.2,12.5.3,12.5.4,12.6,12.6.1,12.6.2,12.6.3,12.6.4,12.6.5,12.7,12.7.1,12.7.2,12.7.3,12.7.4,12.8,12.8.1,12.8.2,12.8.3,12.9,12.9.1,12.9.2,12.9.3,12.9.4,12.9.5,12.10,12.10.1,12.10.2,12.11,12.12,12.12.1,12.12.2,12.12.3,12.13,12.14,12.14.1,12.14.2,12.14.3
